"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"207","gulugulu","rolling","Siwu","Motion","rollen",NA,"Language","Siwu_16_Motion_org",1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.55,0.125661346855074,-0.14451121373755,1
"208","nààà","slowly moving","Siwu","Motion","langzaam bewegen",NA,"Language","Siwu_17_Motion_org",0,1,0,0,1,2,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.5,0,-0.429283311396841,0
"209","giligili","circular (round 2D)","Siwu","Shape","rond (als een cirkel)",NA,"Language","Siwu_18_Shape_org",1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,-0.524400512708041,-1.568371702034,0
"210","minimini","spherical (round 3D)","Siwu","Shape","bolvormig",NA,"Language","Siwu_19_Shape_org",1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.2533471031358,-0.998827506715421,0
"211","kpa","tock, sound of dry impact","Siwu","Sound","harde klap",NA,"Language","Siwu_2_Sound_org",0,1,0,0,1,0,0,2,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,2,0.85,1.03643338949379,1.56412137221819,2
"212","mi<U+0254>mi<U+0254>","pointy","Siwu","Shape","puntig",NA,"Language","Siwu_20_Shape_org",1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.524400512708041,0.70980507924032,0
"213","t<U+025B>g<U+025B>l<U+025B><U+025B>","flat","Siwu","Shape","plat",NA,"Language","Siwu_21_Shape_org",0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
"214","siii","straight","Siwu","Shape","kaarsrecht",NA,"Language","Siwu_22_Shape_org",0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-0.429283311396841,0
"215","g<U+0254>g<U+0254>l<U+0254>","twisted, bendy","Siwu","Shape","kronkelig",NA,"Language","Siwu_23_Shape_org",1,0,1,0,2,2,0,1,0,0,1,1,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.65,0.385320466407568,0.42503298158103,0
"216","tagbaraa","long","Siwu","Shape","lang",NA,"Language","Siwu_24_Shape_org",0,0,0,0,1,1,1,2,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0.85,1.03643338949379,1.56412137221819,0
