"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"58","pyon pyon","manner of jumping or hopping repeatedly","Japanese","Motion","(blijven) huppelen",NA,"Language","Japanese_24_Motion",1,1,0,0,1,2,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.6,0.2533471031358,0.14026088392174,4.18,1.52473070656899
"59","yurayura","sway to and fro","Japanese","Motion","heen en weer slingeren",NA,"Language","Japanese_25_Motion",1,1,0,0,0,2,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.65,0.385320466407568,0.42503298158103,3.16666666666667,0.284968247022382
"60","fuwari","floating, drifting lightly","Japanese","Motion","drijven, zweven",NA,"Language","Japanese_26_Motion",1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.5,0,-0.429283311396841,2.43684210526316,-0.6079354634544
"61","daradara","langsame bewegung","Japanese","Motion","langzame beweging, lui",NA,"Language","Japanese_27_Motion",1,1,0,0,0,1,2,0,1,0,0,0,2,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.15,-1.03643338949379,-2.42268799501187,1.64444444444444,-1.5773942196211
"62","gorogoro","drehend, sich rollend","Japanese","Motion","draaiend, rollend",NA,"Language","Japanese_28_Motion",1,1,0,0,0,2,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.75,0.674489750196082,0.994577176899611,3.39444444444444,0.563642922688011
"63","yota yota","the manner of walking with heavy faltering steps","Japanese","Motion","langzaam,  zwaar, en onzeker lopen",NA,"Language","Japanese_29_Motion",2,1,0,0,0,2,0,0,1,0,1,0,2,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,2,0.4,-0.2533471031358,-0.998827506715421,1.57894736842105,-1.65752660389466
"64","choki choki","scissors snipping","Japanese","Sound","geluid van een knippende schaar",NA,"Language","Japanese_2_Sound",2,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0.75,0.674489750196082,0.994577176899611,3.99444444444444,1.29771280005114
"65","zuratto","state of things being arranged in a line","Japanese","Shape","opgelijnd",NA,"Language","Japanese_30_Shape",0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.2533471031358,-0.998827506715421,2.41111111111111,-0.639416042990441
"66","hyorohyoro","froot,mager, hager","Japanese","Shape","mager",NA,"Language","Japanese_31_Shape",1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.5,0,-0.429283311396841,2.33333333333333,-0.734573249315289
"67","tsun-tsun","the state in which something small is sharp pointed","Japanese","Shape","kleine en scherpe vorm, vorm",NA,"Language","Japanese_32_Shape",0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,2.58947368421053,-0.421198389388343
